"org","#538: Allow pset names to guide splitting in MPI_Comm_split_type (no-no)","#414: Mention behavior with potential overflow (no-no)","#188: Update: Section 3.5 - p. 45 - Comment Erroneous Example (no-no)","#83: Info key(s) for Start Ordering Persistent Collective Communication (no-no)","#472: Fix Incorrect Usage of Rank/Task/etc. in Point to Point Chapter (no-no)","#645: API to access and update MPI_Status public fields (no-no)","#646: WTIME and WTICK should be symbols (no-no)","#647: Handle conversions should be symbols (no-no)","#561: Deprecate mpif.h (no-no)","#669: Add operation state 'enabled' and 'local calls' into Terms (no-no)","#543: 'Pending operation' not defined, pending proper definition (no-no)","#443: LIS entries in MPI_T chapter not reflecting IN vs. INOUT as defined in Term 2.3 chapter (errata)","#379: Rename External Interfaces Chapter (1st)","#538: Allow pset names to guide splitting in MPI_Comm_split_type (1st)","#641: Including Annex A.2 back into the standard (1st)","#493: Issue N - Progress-Section in terms-2.tex (1st)","#471: Fix Incorrect Usage of Rank/Task/etc. in Terms Chapter (1st)","#565: Refer to Fortran 2018 instead of 2008+TS (1st)","#644: Update 'Process Topology' chapter title to use 'MPI process' (1st)","#414: Mention behavior with potential overflow (1st)","#542: Correct usage of the terms error and return codes in the tools chapter (1st)","#188: Update: Section 3.5 - p. 45 - Comment Erroneous Example (1st)","#83: Info key(s) for Start Ordering Persistent Collective Communication (1st)","#472: Fix Incorrect Usage of Rank/Task/etc. in Point to Point Chapter (1st)","#117: 'Logically concurrent' isn't (1st)","#645: API to access and update MPI_Status public fields (1st)","#646: WTIME and WTICK should be symbols (1st)","#647: Handle conversions should be symbols (1st)","#561: Deprecate mpif.h (1st)","#588: Clarification of errhandler fallback with Sessions (1st)","#407: Adjust RMA Chapter to New Terms or vice versa (and remove interims statement) (2nd)","#553: RMA: Add missing win-sync calls to Example 12.21 (2nd)","#551: MPI_Win_free is synchronizing, except when it isn't (2nd)","#429: RMA: Replace 'operation' with 'operator' where appropriate (2nd)","#554: RMA: both MPI_WIN_ALLOCATE and MPI_WIN_ALLOCATE_SHARED allocate memory (2nd)","#474: Fix Incorrect Usage of Rank/Task/etc. in Contexts Chapter (2nd)","#468: Issue K - MPI_REQUEST_GET_STATUS with same progress as MPI_TEST (2nd)","#581: ULFM Fault Tolerance (slice 1: ack_failed, get_failed, revoke) (2nd)"
"Meta","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INRIA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The University of Tokyo","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ParaTools SAS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Atos","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZIH, TU Dresden","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sandia National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Leibniz Supercomputing Centre","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queen's University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cornelis Networks","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"University of Tennessee, Knoxville","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lawrence Livermore National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Argonne National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLRS, University of Stuttgart","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CEA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Technical University of Munich","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NVIDIA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The Texas Advanced Computing Center","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Intel Corporation","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oak Ridge National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"University of Alabama","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Los Alamos National Laboratory","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBM","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kichakato Kizito","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPE","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VSC Research Center, TU Wien","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ohio State University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Université Grenoble Alpes","Abstain","Yes","Yes","Yes","Yes","Yes","Yes","Abstain","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RWTH Aachen University","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amazon","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
